ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
167155,Haryana,Gurgaon,Locality_130,Villa,2,4239,305.27,0.07,2016,Unfurnished,30,9,9,9,7,Medium,No,Yes,"Gym, Garden",South,Owner,Under_Construction
167156,Rajasthan,Jaipur,Locality_297,Apartment,5,1890,79.96,0.04,2000,Semi-furnished,2,9,25,8,2,Low,Yes,Yes,"Pool, Clubhouse, Playground, Garden, Gym",North,Builder,Ready_to_Move
167157,Haryana,Gurgaon,Locality_96,Apartment,1,1741,331.91,0.19,2023,Semi-furnished,8,27,2,3,9,High,No,Yes,"Clubhouse, Pool",South,Owner,Under_Construction
167158,Tamil Nadu,Coimbatore,Locality_278,Independent House,2,646,280.35,0.43,2020,Unfurnished,4,26,5,2,9,High,No,Yes,"Clubhouse, Garden",West,Broker,Under_Construction
167159,Rajasthan,Jodhpur,Locality_35,Apartment,5,616,466.13,0.76,2005,Furnished,24,30,20,5,9,High,Yes,Yes,"Clubhouse, Gym, Playground",East,Builder,Under_Construction
167160,Madhya Pradesh,Bhopal,Locality_248,Independent House,5,3716,109.56,0.03,1998,Semi-furnished,9,26,27,7,9,Medium,Yes,Yes,"Clubhouse, Playground",South,Broker,Ready_to_Move
167161,Haryana,Gurgaon,Locality_200,Apartment,2,4152,465.51,0.11,2017,Unfurnished,13,1,8,10,9,Low,Yes,No,"Garden, Clubhouse, Pool",West,Broker,Under_Construction
167162,Kerala,Kochi,Locality_196,Independent House,2,857,186.96,0.22,2014,Semi-furnished,6,16,11,9,5,High,Yes,No,"Gym, Clubhouse, Garden, Pool",North,Owner,Under_Construction
167163,Punjab,Ludhiana,Locality_500,Villa,1,4247,195.05,0.05,1998,Semi-furnished,13,10,27,10,4,Low,No,No,"Clubhouse, Pool, Garden",North,Builder,Under_Construction
167164,Odisha,Bhubaneswar,Locality_198,Villa,2,4422,348.81,0.08,2009,Semi-furnished,17,27,16,1,4,High,No,Yes,"Gym, Clubhouse",West,Builder,Ready_to_Move
167165,Telangana,Hyderabad,Locality_256,Apartment,1,1570,201.88,0.13,2004,Unfurnished,0,5,21,10,9,Low,No,No,"Garden, Pool, Gym, Clubhouse",East,Builder,Under_Construction
167166,Chhattisgarh,Bilaspur,Locality_1,Apartment,1,2743,459.57,0.17,2001,Furnished,0,24,24,2,7,Low,No,Yes,"Gym, Garden, Clubhouse, Pool",North,Broker,Ready_to_Move
167167,Jharkhand,Jamshedpur,Locality_440,Independent House,1,3453,444.76,0.13,1991,Unfurnished,3,23,34,7,1,Medium,Yes,Yes,"Playground, Pool",West,Builder,Ready_to_Move
167168,Maharashtra,Nagpur,Locality_373,Apartment,1,2050,452.06,0.22,2015,Semi-furnished,14,26,10,4,2,Low,No,No,"Clubhouse, Gym, Playground",East,Broker,Ready_to_Move
167169,Odisha,Bhubaneswar,Locality_129,Villa,3,878,499.15,0.57,2002,Unfurnished,26,12,23,3,10,Low,No,Yes,"Playground, Pool, Clubhouse, Garden, Gym",East,Owner,Ready_to_Move
167170,Gujarat,Ahmedabad,Locality_195,Independent House,3,2992,128.51,0.04,2003,Furnished,20,29,22,9,9,High,Yes,Yes,Garden,South,Builder,Under_Construction
167171,Karnataka,Bangalore,Locality_244,Apartment,5,1524,195.69,0.13,1999,Semi-furnished,18,20,26,1,3,High,Yes,No,"Pool, Playground, Garden, Clubhouse, Gym",West,Owner,Ready_to_Move
167172,Andhra Pradesh,Vijayawada,Locality_406,Apartment,3,1073,93.34,0.09,1991,Furnished,18,22,34,1,9,Low,Yes,Yes,"Clubhouse, Gym, Playground",West,Builder,Ready_to_Move
167173,Punjab,Amritsar,Locality_7,Villa,1,767,284.35,0.37,2017,Semi-furnished,11,10,8,8,4,High,Yes,No,"Gym, Clubhouse, Pool",South,Builder,Under_Construction
167174,Andhra Pradesh,Vijayawada,Locality_378,Villa,5,984,64.85,0.07,2013,Semi-furnished,23,29,12,1,2,High,Yes,No,Gym,West,Broker,Ready_to_Move
167175,Tamil Nadu,Chennai,Locality_307,Independent House,4,1991,101.48,0.05,2001,Semi-furnished,23,26,24,5,3,Medium,Yes,Yes,"Playground, Garden",West,Builder,Under_Construction
167176,Uttar Pradesh,Lucknow,Locality_120,Villa,1,4508,189.58,0.04,2022,Semi-furnished,17,19,3,7,7,High,No,No,"Pool, Playground, Clubhouse",East,Builder,Under_Construction
167177,Jharkhand,Ranchi,Locality_9,Independent House,4,1536,347.72,0.23,2018,Unfurnished,4,20,7,10,1,High,Yes,Yes,"Clubhouse, Pool",South,Builder,Ready_to_Move
167178,Delhi,New Delhi,Locality_219,Apartment,3,944,82.22,0.09,1991,Unfurnished,23,6,34,8,4,Medium,No,Yes,"Garden, Pool",North,Owner,Under_Construction
167179,Telangana,Warangal,Locality_233,Villa,4,4867,134.78,0.03,1997,Unfurnished,16,3,28,2,8,High,No,No,"Garden, Playground, Pool, Clubhouse",South,Broker,Under_Construction
167180,Madhya Pradesh,Bhopal,Locality_172,Independent House,2,3285,83.78,0.03,1994,Unfurnished,11,25,31,9,3,Low,No,Yes,"Clubhouse, Playground, Pool, Gym",North,Owner,Under_Construction
167181,Uttarakhand,Haridwar,Locality_336,Apartment,5,3881,134.92,0.03,2007,Furnished,20,4,18,10,4,Low,Yes,No,"Playground, Pool, Clubhouse",East,Owner,Under_Construction
167182,Haryana,Faridabad,Locality_6,Villa,4,1193,493.76,0.41,2020,Unfurnished,30,14,5,9,10,Medium,Yes,Yes,"Clubhouse, Playground, Gym, Garden, Pool",South,Builder,Ready_to_Move
167183,Rajasthan,Jodhpur,Locality_344,Apartment,3,2381,460.49,0.19,2021,Semi-furnished,29,14,4,10,5,Medium,No,No,"Gym, Pool, Playground",South,Owner,Ready_to_Move
167184,Karnataka,Mysore,Locality_475,Villa,3,2350,495.21,0.21,1992,Semi-furnished,12,14,33,8,2,High,No,No,"Gym, Garden, Playground",South,Owner,Ready_to_Move
167185,Odisha,Cuttack,Locality_76,Apartment,2,1208,112.34,0.09,2007,Semi-furnished,28,26,18,6,6,Medium,No,Yes,"Pool, Garden, Gym",South,Owner,Ready_to_Move
167186,Uttarakhand,Haridwar,Locality_338,Villa,1,4569,213.91,0.05,2023,Semi-furnished,14,4,2,1,5,Medium,Yes,No,"Garden, Gym, Playground, Clubhouse",East,Builder,Ready_to_Move
167187,Haryana,Faridabad,Locality_79,Independent House,1,4912,481.65,0.1,1993,Unfurnished,29,24,32,9,9,Low,No,No,"Pool, Garden, Playground, Gym, Clubhouse",South,Broker,Under_Construction
167188,Rajasthan,Jodhpur,Locality_226,Apartment,3,2221,359.32,0.16,2023,Furnished,4,2,2,3,3,Medium,Yes,Yes,"Clubhouse, Garden, Pool, Playground, Gym",West,Broker,Under_Construction
167189,Madhya Pradesh,Indore,Locality_278,Apartment,5,3764,380.15,0.1,2017,Furnished,21,18,8,7,7,Low,Yes,Yes,"Clubhouse, Gym",South,Builder,Ready_to_Move
167190,West Bengal,Kolkata,Locality_379,Independent House,2,4088,33.42,0.01,1998,Semi-furnished,12,14,27,9,1,Medium,Yes,Yes,"Playground, Clubhouse",North,Broker,Under_Construction
167191,Andhra Pradesh,Vishakhapatnam,Locality_138,Apartment,2,4909,364.44,0.07,2022,Furnished,21,3,3,3,4,Medium,Yes,Yes,"Garden, Playground, Pool, Gym",East,Owner,Under_Construction
167192,Telangana,Hyderabad,Locality_106,Independent House,1,1673,448.7,0.27,2001,Furnished,16,27,24,7,6,High,No,No,"Clubhouse, Pool",East,Broker,Under_Construction
167193,Karnataka,Bangalore,Locality_117,Apartment,2,1111,402.74,0.36,1990,Semi-furnished,25,25,35,10,9,High,Yes,No,Playground,North,Broker,Under_Construction
167194,Jharkhand,Jamshedpur,Locality_198,Villa,2,2622,333.13,0.13,1994,Semi-furnished,18,30,31,3,7,High,No,No,Clubhouse,West,Broker,Under_Construction
167195,Odisha,Bhubaneswar,Locality_111,Apartment,3,1392,245.43,0.18,1994,Unfurnished,11,24,31,7,8,High,Yes,Yes,"Clubhouse, Pool, Garden",West,Builder,Ready_to_Move
167196,Rajasthan,Jodhpur,Locality_215,Apartment,1,4468,402.49,0.09,2005,Semi-furnished,26,19,20,2,2,Medium,No,No,"Playground, Pool, Gym, Clubhouse",West,Broker,Under_Construction
167197,Madhya Pradesh,Indore,Locality_214,Apartment,5,1397,450.0,0.32,2001,Unfurnished,5,6,24,3,1,Medium,No,No,Pool,West,Owner,Under_Construction
167198,Karnataka,Mysore,Locality_126,Independent House,2,4358,190.27,0.04,1994,Unfurnished,30,22,31,10,3,High,No,Yes,"Pool, Clubhouse",South,Builder,Under_Construction
167199,Telangana,Warangal,Locality_381,Independent House,2,3069,196.17,0.06,2020,Furnished,21,3,5,2,1,Low,No,No,"Playground, Gym, Pool, Garden, Clubhouse",North,Broker,Ready_to_Move
167200,Jharkhand,Jamshedpur,Locality_303,Villa,5,4294,467.84,0.11,1993,Semi-furnished,24,30,32,7,2,High,Yes,Yes,"Garden, Clubhouse, Playground",West,Broker,Ready_to_Move
167201,Uttarakhand,Haridwar,Locality_128,Apartment,4,1145,272.27,0.24,2006,Semi-furnished,12,10,19,9,8,Low,No,No,"Pool, Gym, Garden, Playground, Clubhouse",South,Builder,Ready_to_Move
167202,Rajasthan,Jaipur,Locality_283,Villa,3,3609,131.1,0.04,2020,Semi-furnished,27,25,5,5,2,Low,No,No,"Garden, Clubhouse, Gym, Playground, Pool",East,Builder,Under_Construction
167203,Tamil Nadu,Chennai,Locality_19,Apartment,4,2123,281.53,0.13,2007,Semi-furnished,23,23,18,9,9,Low,No,Yes,Garden,East,Owner,Ready_to_Move
167204,Rajasthan,Jaipur,Locality_317,Apartment,2,4371,291.24,0.07,1992,Unfurnished,17,22,33,3,1,High,Yes,Yes,"Garden, Pool",East,Broker,Under_Construction
167205,Gujarat,Ahmedabad,Locality_267,Apartment,2,2270,13.21,0.01,2001,Furnished,7,15,24,7,7,Medium,Yes,Yes,"Garden, Playground, Clubhouse, Pool, Gym",East,Broker,Ready_to_Move
167206,West Bengal,Durgapur,Locality_337,Villa,3,2807,76.88,0.03,2006,Unfurnished,8,13,19,5,9,Medium,Yes,Yes,"Pool, Playground, Garden, Gym, Clubhouse",West,Broker,Ready_to_Move
167207,Delhi,Dwarka,Locality_417,Villa,1,1137,37.3,0.03,2005,Unfurnished,27,9,20,5,6,Medium,Yes,Yes,Garden,West,Owner,Ready_to_Move
167208,Rajasthan,Jaipur,Locality_458,Villa,2,4100,406.32,0.1,2020,Furnished,16,13,5,6,1,Low,Yes,No,"Garden, Playground, Pool, Gym",East,Builder,Ready_to_Move
167209,Telangana,Warangal,Locality_88,Villa,4,1955,131.72,0.07,1994,Furnished,23,8,31,3,7,Medium,Yes,Yes,Pool,North,Builder,Under_Construction
167210,Punjab,Ludhiana,Locality_330,Independent House,5,4837,265.43,0.05,2018,Furnished,24,18,7,1,1,High,No,Yes,"Pool, Clubhouse, Gym",South,Broker,Ready_to_Move
167211,Kerala,Kochi,Locality_125,Independent House,5,3532,130.63,0.04,2011,Furnished,24,1,14,9,7,High,No,Yes,"Playground, Garden",South,Owner,Ready_to_Move
167212,Maharashtra,Pune,Locality_382,Independent House,4,1162,170.88,0.15,1999,Furnished,23,30,26,4,6,High,No,Yes,"Pool, Clubhouse",East,Builder,Under_Construction
167213,Uttarakhand,Dehradun,Locality_339,Independent House,3,1199,292.2,0.24,1994,Unfurnished,20,12,31,7,2,Medium,No,Yes,"Clubhouse, Pool",South,Owner,Ready_to_Move
167214,Uttarakhand,Haridwar,Locality_155,Villa,1,754,162.18,0.22,1991,Unfurnished,19,28,34,9,6,High,Yes,No,"Playground, Pool, Garden, Clubhouse",East,Owner,Under_Construction
167215,Maharashtra,Mumbai,Locality_351,Apartment,4,1392,186.17,0.13,2009,Semi-furnished,4,30,16,9,4,Low,No,Yes,"Pool, Playground",East,Builder,Ready_to_Move
167216,Punjab,Ludhiana,Locality_291,Villa,3,1777,166.89,0.09,2021,Semi-furnished,16,7,4,2,2,Low,No,Yes,"Garden, Pool, Gym, Clubhouse, Playground",South,Owner,Ready_to_Move
167217,Rajasthan,Jodhpur,Locality_30,Apartment,1,1183,363.39,0.31,1994,Semi-furnished,7,8,31,6,9,Medium,Yes,Yes,"Playground, Garden, Clubhouse",East,Broker,Under_Construction
167218,Jharkhand,Jamshedpur,Locality_254,Villa,2,4284,471.64,0.11,2000,Semi-furnished,5,14,25,3,6,Medium,No,No,"Garden, Gym, Pool, Clubhouse, Playground",North,Broker,Ready_to_Move
167219,Assam,Silchar,Locality_169,Independent House,4,597,357.99,0.6,2006,Furnished,16,29,19,9,1,Low,Yes,No,"Playground, Garden, Gym",South,Owner,Ready_to_Move
167220,West Bengal,Durgapur,Locality_206,Villa,1,4051,164.83,0.04,2004,Furnished,18,25,21,2,3,High,Yes,Yes,Pool,North,Owner,Ready_to_Move
167221,Kerala,Kochi,Locality_265,Villa,4,797,45.51,0.06,2004,Furnished,12,7,21,1,8,High,No,No,"Clubhouse, Playground, Garden, Gym",North,Builder,Ready_to_Move
167222,Bihar,Patna,Locality_498,Apartment,3,4614,498.87,0.11,1996,Semi-furnished,10,19,29,10,8,High,No,No,"Gym, Playground, Garden, Pool, Clubhouse",East,Builder,Ready_to_Move
167223,Tamil Nadu,Coimbatore,Locality_370,Independent House,2,3822,129.96,0.03,2003,Semi-furnished,23,28,22,5,8,Low,No,No,"Playground, Garden, Pool, Clubhouse, Gym",West,Broker,Under_Construction
167224,Tamil Nadu,Chennai,Locality_471,Apartment,5,3798,158.71,0.04,1994,Furnished,12,18,31,3,8,High,Yes,Yes,"Garden, Gym, Clubhouse, Playground",West,Broker,Under_Construction
167225,Uttarakhand,Haridwar,Locality_19,Apartment,4,4034,459.33,0.11,2013,Semi-furnished,12,13,12,8,1,Medium,Yes,No,"Playground, Gym, Pool, Clubhouse",South,Builder,Ready_to_Move
167226,West Bengal,Durgapur,Locality_357,Independent House,4,580,262.52,0.45,1999,Furnished,9,8,26,3,2,Low,No,No,"Pool, Garden, Playground",South,Builder,Under_Construction
167227,Kerala,Kochi,Locality_172,Apartment,2,4881,306.66,0.06,2020,Furnished,29,2,5,8,10,Low,Yes,Yes,"Clubhouse, Gym, Playground, Garden",East,Builder,Ready_to_Move
167228,Chhattisgarh,Raipur,Locality_111,Villa,5,4715,480.26,0.1,2002,Furnished,30,25,23,1,3,Medium,Yes,Yes,"Clubhouse, Garden",North,Owner,Under_Construction
167229,Madhya Pradesh,Bhopal,Locality_184,Apartment,4,680,368.07,0.54,2009,Semi-furnished,11,10,16,1,1,High,No,Yes,"Pool, Gym, Clubhouse",East,Broker,Under_Construction
167230,Uttarakhand,Haridwar,Locality_391,Independent House,4,3752,144.79,0.04,1995,Unfurnished,8,13,30,6,4,Medium,No,No,Clubhouse,South,Builder,Ready_to_Move
167231,West Bengal,Kolkata,Locality_87,Villa,5,1196,374.38,0.31,2017,Furnished,10,16,8,10,3,High,No,Yes,"Garden, Pool, Clubhouse, Playground",West,Builder,Ready_to_Move
167232,Uttar Pradesh,Noida,Locality_338,Apartment,1,927,366.0,0.39,2014,Unfurnished,10,24,11,2,1,Medium,Yes,No,Gym,North,Owner,Ready_to_Move
167233,Jharkhand,Jamshedpur,Locality_172,Independent House,3,867,463.06,0.53,2020,Unfurnished,8,6,5,7,2,High,No,No,"Playground, Pool",North,Broker,Ready_to_Move
167234,Kerala,Kochi,Locality_42,Apartment,2,2708,208.47,0.08,2002,Unfurnished,29,17,23,4,3,Medium,Yes,No,"Gym, Clubhouse",South,Owner,Under_Construction
167235,Karnataka,Mangalore,Locality_169,Apartment,1,3572,465.76,0.13,2018,Unfurnished,0,21,7,3,9,Medium,Yes,No,Garden,South,Broker,Under_Construction
167236,Gujarat,Ahmedabad,Locality_304,Independent House,2,3242,128.39,0.04,2022,Unfurnished,25,9,3,7,5,Medium,Yes,No,"Garden, Gym, Playground, Pool, Clubhouse",East,Owner,Under_Construction
167237,Assam,Silchar,Locality_322,Independent House,2,2469,92.33,0.04,1991,Semi-furnished,12,1,34,9,2,Medium,Yes,Yes,"Gym, Pool",East,Builder,Under_Construction
167238,West Bengal,Durgapur,Locality_53,Independent House,4,4591,338.43,0.07,2022,Unfurnished,3,19,3,1,10,Low,No,No,"Gym, Garden",East,Broker,Ready_to_Move
167239,Andhra Pradesh,Vishakhapatnam,Locality_234,Apartment,3,4462,12.67,0.0,2014,Unfurnished,3,14,11,1,3,Low,No,No,"Clubhouse, Pool, Gym",East,Owner,Ready_to_Move
167240,Uttarakhand,Dehradun,Locality_412,Villa,4,4538,420.15,0.09,2016,Furnished,20,22,9,6,2,Medium,No,Yes,"Gym, Playground, Garden, Pool, Clubhouse",East,Builder,Under_Construction
167241,Assam,Silchar,Locality_297,Independent House,3,1305,315.39,0.24,2014,Semi-furnished,4,10,11,10,3,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse, Pool",West,Broker,Ready_to_Move
167242,Punjab,Ludhiana,Locality_105,Independent House,3,1342,85.18,0.06,1993,Unfurnished,11,10,32,7,10,High,Yes,Yes,"Clubhouse, Garden, Pool, Gym, Playground",West,Builder,Ready_to_Move
167243,Odisha,Cuttack,Locality_7,Independent House,4,3124,43.23,0.01,2014,Semi-furnished,25,14,11,8,2,High,No,Yes,"Playground, Clubhouse",North,Builder,Ready_to_Move
167244,Gujarat,Ahmedabad,Locality_382,Villa,5,4065,306.01,0.08,2000,Furnished,26,18,25,9,7,Medium,Yes,Yes,"Playground, Gym, Garden",South,Broker,Under_Construction
167245,Chhattisgarh,Bilaspur,Locality_8,Villa,4,2284,439.12,0.19,2002,Furnished,30,18,23,6,5,High,No,No,"Clubhouse, Pool, Playground, Gym",East,Owner,Ready_to_Move
167246,Delhi,New Delhi,Locality_392,Apartment,3,4037,115.17,0.03,2008,Unfurnished,7,4,17,1,8,High,Yes,Yes,"Pool, Playground, Gym, Garden",West,Owner,Under_Construction
167247,Tamil Nadu,Coimbatore,Locality_477,Apartment,3,1093,228.84,0.21,2007,Furnished,20,23,18,5,9,Medium,No,Yes,Playground,West,Broker,Under_Construction
167248,Telangana,Warangal,Locality_405,Apartment,2,4707,354.55,0.08,1998,Semi-furnished,21,3,27,1,1,High,Yes,Yes,"Pool, Clubhouse, Garden",West,Owner,Ready_to_Move
167249,Chhattisgarh,Bilaspur,Locality_382,Apartment,1,1524,398.57,0.26,2016,Furnished,3,23,9,3,7,Low,Yes,Yes,Clubhouse,North,Builder,Under_Construction
167250,Tamil Nadu,Coimbatore,Locality_205,Villa,5,3795,198.89,0.05,2014,Semi-furnished,2,17,11,10,5,High,Yes,Yes,"Clubhouse, Gym, Playground",West,Owner,Ready_to_Move
167251,Bihar,Patna,Locality_110,Apartment,2,2309,473.03,0.2,2013,Semi-furnished,5,3,12,8,6,High,No,Yes,Clubhouse,South,Broker,Under_Construction
167252,Chhattisgarh,Raipur,Locality_362,Independent House,3,4780,313.54,0.07,2019,Semi-furnished,29,20,6,7,10,Medium,No,Yes,"Gym, Garden",West,Owner,Under_Construction
167253,Telangana,Hyderabad,Locality_375,Apartment,4,1687,332.67,0.2,2000,Furnished,21,2,25,1,1,High,No,Yes,"Pool, Gym",North,Broker,Ready_to_Move
167254,Haryana,Faridabad,Locality_34,Independent House,4,865,170.55,0.2,1997,Semi-furnished,6,24,28,8,4,High,Yes,No,"Garden, Gym",West,Builder,Ready_to_Move
167255,Assam,Silchar,Locality_34,Apartment,3,2058,64.36,0.03,2023,Furnished,30,2,2,3,7,Medium,No,Yes,"Playground, Gym, Pool, Clubhouse",South,Builder,Ready_to_Move
167256,Bihar,Gaya,Locality_303,Independent House,1,819,370.29,0.45,2012,Semi-furnished,26,30,13,3,1,Medium,Yes,No,"Garden, Clubhouse, Pool, Gym, Playground",East,Builder,Under_Construction
167257,Uttar Pradesh,Noida,Locality_15,Villa,2,1625,276.85,0.17,2017,Furnished,19,24,8,5,2,Low,Yes,No,"Garden, Pool, Clubhouse",North,Owner,Ready_to_Move
167258,Bihar,Patna,Locality_380,Villa,2,4257,339.89,0.08,2015,Unfurnished,23,30,10,1,5,Low,Yes,No,"Pool, Garden",South,Broker,Under_Construction
167259,Chhattisgarh,Raipur,Locality_215,Independent House,4,4150,416.36,0.1,2000,Unfurnished,6,19,25,1,8,Low,No,Yes,Gym,South,Owner,Ready_to_Move
167260,Tamil Nadu,Chennai,Locality_124,Independent House,1,2849,429.58,0.15,1992,Unfurnished,20,29,33,4,9,Medium,No,No,"Playground, Clubhouse, Garden, Pool, Gym",North,Broker,Ready_to_Move
167261,Kerala,Kochi,Locality_176,Villa,5,4845,253.45,0.05,2010,Furnished,17,21,15,4,3,Medium,No,Yes,"Clubhouse, Pool",North,Builder,Ready_to_Move
167262,Assam,Guwahati,Locality_443,Independent House,5,3800,385.46,0.1,2007,Furnished,23,12,18,1,9,Medium,No,Yes,"Playground, Pool, Gym, Garden",West,Broker,Under_Construction
167263,Rajasthan,Jodhpur,Locality_227,Apartment,4,4354,188.96,0.04,1996,Unfurnished,1,8,29,7,1,Low,Yes,Yes,"Pool, Garden, Clubhouse",East,Builder,Ready_to_Move
167264,Gujarat,Ahmedabad,Locality_159,Independent House,1,4853,196.01,0.04,2004,Semi-furnished,7,17,21,5,1,High,No,No,"Gym, Playground",East,Owner,Under_Construction
167265,Haryana,Gurgaon,Locality_463,Independent House,1,891,387.37,0.43,2016,Unfurnished,8,2,9,6,6,High,No,Yes,"Playground, Garden, Clubhouse, Pool",South,Owner,Under_Construction
167266,Andhra Pradesh,Vishakhapatnam,Locality_173,Apartment,4,3900,354.47,0.09,2011,Furnished,4,29,14,2,7,Medium,Yes,No,"Gym, Clubhouse, Garden, Pool",North,Broker,Ready_to_Move
167267,Haryana,Faridabad,Locality_212,Apartment,5,4470,81.79,0.02,1991,Unfurnished,26,22,34,10,8,High,Yes,Yes,"Garden, Playground, Pool, Gym",South,Broker,Under_Construction
167268,Bihar,Gaya,Locality_122,Villa,4,3134,156.76,0.05,2004,Unfurnished,3,27,21,10,4,Medium,Yes,No,Clubhouse,North,Broker,Ready_to_Move
167269,Jharkhand,Ranchi,Locality_273,Apartment,3,3955,57.07,0.01,2007,Furnished,4,30,18,7,5,Medium,No,No,"Gym, Garden, Playground, Clubhouse, Pool",North,Builder,Ready_to_Move
167270,Telangana,Hyderabad,Locality_132,Apartment,1,2846,79.43,0.03,2004,Furnished,13,23,21,9,3,Medium,Yes,Yes,Clubhouse,South,Builder,Ready_to_Move
167271,Gujarat,Surat,Locality_135,Villa,2,4656,52.43,0.01,1990,Semi-furnished,0,3,35,1,8,High,Yes,Yes,"Garden, Pool, Gym, Clubhouse, Playground",West,Owner,Under_Construction
167272,Assam,Guwahati,Locality_74,Independent House,1,1509,153.89,0.1,1990,Unfurnished,16,13,35,6,4,Medium,Yes,Yes,"Gym, Playground, Clubhouse",East,Owner,Ready_to_Move
167273,Punjab,Ludhiana,Locality_407,Independent House,4,544,27.98,0.05,2003,Semi-furnished,1,6,22,3,5,High,Yes,Yes,"Garden, Pool, Clubhouse, Playground",West,Broker,Ready_to_Move
167274,Madhya Pradesh,Indore,Locality_405,Apartment,2,4577,404.51,0.09,2023,Semi-furnished,17,18,2,4,2,Low,Yes,Yes,Pool,North,Broker,Under_Construction
167275,Kerala,Kochi,Locality_52,Villa,4,922,429.69,0.47,2013,Semi-furnished,4,15,12,4,8,Medium,Yes,No,Garden,West,Owner,Ready_to_Move
167276,Punjab,Ludhiana,Locality_420,Apartment,2,2516,56.11,0.02,1991,Furnished,14,14,34,1,9,Medium,No,No,Gym,North,Builder,Ready_to_Move
167277,Andhra Pradesh,Vishakhapatnam,Locality_40,Villa,4,3565,399.72,0.11,2020,Furnished,5,12,5,7,7,Low,No,Yes,"Playground, Pool, Gym, Garden",West,Owner,Under_Construction
167278,Haryana,Faridabad,Locality_206,Apartment,1,1916,308.89,0.16,2016,Unfurnished,23,1,9,10,10,Medium,No,No,Playground,South,Builder,Under_Construction
167279,Uttarakhand,Haridwar,Locality_76,Independent House,5,4899,196.13,0.04,2014,Furnished,1,5,11,9,7,Low,No,No,Gym,West,Broker,Under_Construction
167280,Madhya Pradesh,Bhopal,Locality_136,Apartment,1,3246,363.66,0.11,2001,Semi-furnished,18,26,24,8,4,Low,Yes,No,"Pool, Gym, Garden, Clubhouse",East,Broker,Ready_to_Move
167281,Kerala,Trivandrum,Locality_132,Apartment,1,2916,402.31,0.14,1990,Unfurnished,1,2,35,1,8,Medium,Yes,Yes,"Pool, Playground, Garden",South,Broker,Under_Construction
167282,Bihar,Gaya,Locality_367,Villa,3,4081,347.23,0.09,1990,Semi-furnished,5,15,35,1,10,Medium,No,No,"Gym, Playground, Clubhouse, Garden, Pool",South,Broker,Ready_to_Move
167283,Odisha,Bhubaneswar,Locality_464,Villa,5,1573,446.86,0.28,2012,Furnished,4,26,13,10,4,Medium,No,Yes,Garden,East,Builder,Ready_to_Move
167284,Madhya Pradesh,Indore,Locality_479,Independent House,1,1307,296.76,0.23,2001,Unfurnished,7,19,24,3,4,High,No,No,Gym,South,Broker,Ready_to_Move
167285,Haryana,Gurgaon,Locality_144,Apartment,4,1056,307.62,0.29,2002,Unfurnished,2,2,23,3,3,High,No,Yes,"Gym, Clubhouse",North,Builder,Ready_to_Move
167286,Maharashtra,Nagpur,Locality_254,Apartment,3,1275,311.44,0.24,1999,Unfurnished,14,11,26,7,10,Low,Yes,No,"Playground, Clubhouse",North,Builder,Under_Construction
167287,Assam,Guwahati,Locality_86,Apartment,5,2559,65.51,0.03,1995,Furnished,30,15,30,3,9,Low,No,Yes,"Playground, Pool, Gym, Clubhouse, Garden",North,Builder,Ready_to_Move
167288,Andhra Pradesh,Vishakhapatnam,Locality_460,Apartment,3,2522,284.94,0.11,1991,Furnished,29,7,34,7,8,Low,Yes,Yes,Clubhouse,West,Broker,Under_Construction
167289,Gujarat,Ahmedabad,Locality_427,Villa,5,4411,244.01,0.06,2008,Furnished,21,22,17,1,1,Low,No,Yes,"Playground, Pool, Gym, Clubhouse",East,Builder,Ready_to_Move
167290,Telangana,Warangal,Locality_191,Apartment,2,1835,45.56,0.02,2001,Unfurnished,24,3,24,2,5,Low,Yes,No,"Gym, Pool, Playground, Clubhouse, Garden",South,Broker,Ready_to_Move
167291,Tamil Nadu,Chennai,Locality_347,Villa,5,956,282.22,0.3,2017,Unfurnished,29,29,8,7,5,Low,No,No,"Pool, Garden, Clubhouse, Playground",South,Owner,Under_Construction
167292,Kerala,Kochi,Locality_54,Villa,2,3193,161.42,0.05,1998,Furnished,20,15,27,8,7,Medium,Yes,Yes,Playground,West,Broker,Ready_to_Move
167293,Karnataka,Bangalore,Locality_53,Villa,2,2879,170.44,0.06,1998,Furnished,0,3,27,8,9,Medium,Yes,Yes,"Playground, Gym, Garden, Pool",South,Builder,Ready_to_Move
167294,Kerala,Trivandrum,Locality_457,Independent House,3,564,189.08,0.34,1993,Furnished,6,12,32,3,6,Low,Yes,No,"Clubhouse, Gym, Pool, Garden, Playground",West,Broker,Ready_to_Move
167295,Kerala,Kochi,Locality_430,Independent House,2,1509,242.65,0.16,1993,Furnished,22,5,32,8,3,High,No,Yes,Clubhouse,East,Broker,Ready_to_Move
167296,Chhattisgarh,Bilaspur,Locality_246,Villa,5,2031,247.18,0.12,2018,Unfurnished,25,14,7,6,9,Low,No,No,"Pool, Playground, Gym, Garden, Clubhouse",East,Owner,Ready_to_Move
